model,r2,mae,spearman,brier,ece,n_test,fit_predict_seconds
Naive Mean,-0.07304113757242544,0.024118068493004224,0.0,0.0018078580925958872,0.0203097915089598,57531,0.02
Ridge Regression,0.13625463103425783,0.018807933495016534,0.8011877518063182,0.0012052449403309948,0.012206172284545874,57531,0.42
Random Forest,0.6617008165416962,0.012503026767522888,0.892628495600973,0.0004720527528494329,0.005944705169713214,57531,67.09
XGBoost,0.676144063850086,0.01258869083691524,0.8872808091375431,0.00045189906940771435,0.005018493651727643,57531,11.44
