epoch,train_loss,val_loss
1,0.2833610048298247,0.3244422184183878
2,0.1932082333488763,0.25308556225463075
3,0.17708639794520373,0.2643567876304115
4,0.16761319667710758,0.22141100830339308
5,0.16473962974874665,0.22150388953050368
6,0.15812131282159017,0.30763856185005967
7,0.15736386770735988,0.27576528336506223
8,0.15478432874651754,0.18981712571830517
9,0.14754285828312422,0.22261312165105127
10,0.1480063328784013,0.20102014568710677
11,0.14435857934428617,0.2217068175066092
12,0.14502190849785698,0.25959658245934936
13,0.1399930815533272,0.2120711190159935
14,0.13746958646757654,0.30259473975135903
15,0.13780502337305944,0.21393952277364048
16,0.13454515816420853,0.26285262973370055
17,0.13457687667656124,0.3705496807423405
18,0.13241366091822396,0.25544028331119295
19,0.1322787990421534,0.34276362503274
20,0.1316890729297314,0.2834274931978074
21,0.1304169176760195,0.2051372696275831
22,0.12857683879446286,0.4328322471999888
23,0.1277546786429672,0.26208490845997495
