bin,bin_low,bin_high,n,r2,mae,spearman,model
1,1.0658767678251024e-05,0.003970456309616566,11506,-35.01507189619378,0.004122746530616545,0.6079587936659563,GAT_vanilla
2,0.003970456309616566,0.009949082508683205,11505,-56.9533281685713,0.008754257273500198,0.3532552455474911,GAT_vanilla
3,0.009949082508683205,0.02047796919941902,11507,-50.24498311925515,0.01424877793392689,0.3129374614324596,GAT_vanilla
4,0.02047796919941902,0.04646598547697067,11506,-13.506171565646598,0.018855599219508024,0.3889172610830144,GAT_vanilla
5,0.04646598547697067,0.20817092061042786,11507,0.292888452136304,0.023653410748078172,0.7290342683788298,GAT_vanilla
