bin,bin_low,bin_high,n,r2,mae,spearman,model
1,1.0658767678251024e-05,0.003970456309616566,11506,-25.580717416654046,0.0037662491788594647,0.6040791543793828,GATv2_vanilla
2,0.003970456309616566,0.009949082508683205,11505,-39.099740576125555,0.007358570853617163,0.3477491836033479,GATv2_vanilla
3,0.009949082508683205,0.02047796919941902,11507,-35.011862570514424,0.011366922663424891,0.2800661459429727,GATv2_vanilla
4,0.02047796919941902,0.04646598547697067,11506,-8.938357076966376,0.01433552805164651,0.3795245612527427,GATv2_vanilla
5,0.04646598547697067,0.20817092061042786,11507,0.12962967122663527,0.025557000848480088,0.7676148256564378,GATv2_vanilla
