bin,bin_low,bin_high,n,r2,mae,spearman,model
1,1.0658767678251024e-05,0.003970456309616566,11506,-33.463847722807955,0.004096461981489099,0.5565639462881872,2D CNN (spatial)
2,0.003970456309616566,0.009949082508683205,11505,-40.96938274915873,0.008056222584344337,0.3483895186751318,2D CNN (spatial)
3,0.009949082508683205,0.02047796919941902,11507,-21.3606492617069,0.010278662803943399,0.21521650680013915,2D CNN (spatial)
4,0.02047796919941902,0.04646598547697067,11506,-3.6039650451099723,0.011422309605651533,0.35706234495644457,2D CNN (spatial)
5,0.04646598547697067,0.20817092061042786,11507,0.0212138361244808,0.027891631844748178,0.6353958337047724,2D CNN (spatial)
