scenario,n_test,n_treated,mean_delta_bp,median_delta_bp,std_delta_bp,mean_delta_pct,n_significant,pct_significant,pct_reduced,pct_increased,max_reduction_bp,max_increase_bp,p5_delta_bp,p95_delta_bp,mean_delta_in_strip,mean_delta_out_strip,n_significant_in_strip,arch
Fuel Reduction 30% (all CFL features),57531,57531,-0.00039620758825867445,-4.210160451002809e-05,0.003602412548525847,-0.17015935138655702,88,0.15296101232379064,52.25704402843684,47.742955971563156,-0.06887625374296111,0.03967077877797351,-0.005590351491988704,0.0038749686938585343,,,,GAT
"Firebreak (rows 5000-5100, all CFL=0)",57531,57531,-0.0007279812395975216,2.4713480862130705e-05,0.006394268196580166,-2.0044464767102523,2508,4.359388851228033,47.68907197858546,52.31092802141454,-0.13627315397270057,0.03694397930957338,-0.006189160944366681,0.0032532924762705643,-0.01416149453904639,0.00013533017617259815,2469.0,GAT
Ignition Suppression 50% (all Ign features),57531,57531,0.00048499008835721367,-0.00016501395002277083,0.004713256211822408,-1.4957259294535012,2043,3.5511289565625495,54.231631642071235,45.768368357928765,-0.06324976431998477,0.05094695394150832,-0.00483819767483417,0.008477680055588709,,,,GAT
