variant,conv,head,loss,r2,mae,spearman,ece
GAT (full: NLL + MC Dropout + calib.),GATConv,Gaussian NLL,gaussian_nll,0.7659015941734193,0.0105224898830989,0.8798862693549666,0.002037083002214
GAT (vanilla: single head),GATConv,Regression,MSE,0.65433709065062,0.013927222911063342,0.8996343419294001,0.010261038265708518
GATv2 (dynamic attention),GATv2Conv,Regression,MSE,0.6850445858707364,0.01247715135034256,0.8959849359582095,0.007764775275692316
