epoch,train_loss,val_loss
1,0.2795361170562614,0.22094364626242188
2,0.19446426440785491,0.24916454102405933
3,0.17978511236343542,0.3203578206515217
4,0.17017602464249157,0.5122700642013169
5,0.16530505754336164,0.22185389132982095
6,0.16071741701998962,0.2895528291783012
7,0.15751327971711152,0.44738827109117246
8,0.1538248870065777,0.1881925036634885
9,0.15158708048359926,0.33512161782741695
10,0.14695014282134194,0.21001158657983873
11,0.14555059442501897,0.24391710353036727
12,0.14491008957139329,0.17837405249700614
13,0.14327137696925063,0.38143968217241864
14,0.14040482162322085,0.1768591191840384
15,0.1396596262636676,0.3319721957593745
16,0.13633348250229954,0.39651079747001194
17,0.13474355334508276,0.21301925222146062
18,0.13296690729111046,0.1750069229536749
19,0.13286867368142113,0.32389038586711677
20,0.1341260597875876,0.3212732634608058
21,0.13294528769250386,0.5170592703206575
22,0.13399131025420605,0.22124808994051792
23,0.12910748332135052,0.16672961926044846
24,0.128566098772611,0.1749870992586186
25,0.12767062856865458,0.1914591291179897
26,0.12744841060680262,0.23326386237642244
27,0.12783368582911475,0.24887208956533097
28,0.12552523235009122,0.27708196542015606
29,0.12444311113639342,0.17313175072534925
30,0.12578669797720923,0.25984228025340655
31,0.12186606176785528,0.40956044714802936
32,0.12232895825177906,0.18588441149987872
33,0.12312566447688207,0.2650410105772534
34,0.12321693478921691,0.19886839419905306
35,0.12197470731689898,0.18168778060851085
36,0.12077219466172777,0.24855351492529235
37,0.11902334198053763,0.37576219220083845
38,0.11934034888566443,0.20172574218336262
