arch,stage,T,picp_50,picp_90,picp_95,mpiw_90,ace,ence
GraphSAGE,before,1.0,0.36856651196746104,0.6497018998453008,0.7036380386226556,0.06105076614390463,-0.1332421239258651,2.2261946091830995
GraphSAGE,after,1.040704956489529,0.37995167822565223,0.6626688220263858,0.7150753506805027,0.06353583546311835,-0.12353019744961294,2.10783143104343
