bin,bin_low,bin_high,n,r2,mae,spearman,model
1,1.0658767678251024e-05,0.003970456309616566,11506,-1.4369770622161453,0.0012439083793370452,0.5981259900669078,GraphSAGE
2,0.003970456309616566,0.009949082508683205,11505,-8.678805014848068,0.00449435987436168,0.14877404478349354,GraphSAGE
3,0.009949082508683205,0.02047796919941902,11507,-13.998021130367315,0.010249370205267649,0.1810144171177989,GraphSAGE
4,0.02047796919941902,0.04646598547697067,11506,-8.524309352938028,0.019828229269528992,0.2601055297706284,GraphSAGE
5,0.04646598547697067,0.20817092061042786,11507,-1.0260277204470687,0.04695257822018904,0.7321372172656944,GraphSAGE
