bin,bin_low,bin_high,n,r2,mae,spearman,model
1,1.0658767678251024e-05,0.003970456309616566,11506,-31.35109075081865,0.0027889306057121486,0.4394075594138492,GAT
2,0.003970456309616566,0.009949082508683205,11505,-77.83698686594818,0.008340491460277958,0.15853190241992385,GAT
3,0.009949082508683205,0.02047796919941902,11507,-25.811925616076522,0.011272795537067412,0.19505218014271433,GAT
4,0.02047796919941902,0.04646598547697067,11506,-9.586822969576984,0.01912892384695818,0.19321340766557354,GAT
5,0.04646598547697067,0.20817092061042786,11507,-1.4808240125169427,0.05062290135449599,0.5203370527147879,GAT
