bin,bin_low,bin_high,n,r2,mae,spearman,model
1,1.0658767678251024e-05,0.003970456309616566,11506,-13.793986720869494,0.0029917928805604805,0.6157165414216429,GCN
2,0.003970456309616566,0.009949082508683205,11505,-9.768673120883381,0.0037867794402562543,0.3213159784842451,GCN
3,0.009949082508683205,0.02047796919941902,11507,-9.209389235476419,0.006763716505184113,0.29354766634895607,GCN
4,0.02047796919941902,0.04646598547697067,11506,-2.8995688544019607,0.01066504652797766,0.3743144208949182,GCN
5,0.04646598547697067,0.20817092061042786,11507,-0.2208439800849218,0.031490572924975785,0.6511092701006826,GCN
